108.3,35.17,3.0,-0.86,7.76,5.64,6.77,4.06,0.98,17.89,4.26
108.3,35.17,4.0,-0.86,7.76,5.66,6.77,4.0,1.14,15.73,3.64
108.3,35.17,5.0,-0.86,7.76,5.67,6.77,4.15,1.07,14.99,3.57
108.3,35.17,6.0,-0.86,7.77,5.68,6.77,4.21,0.97,13.41,3.14
108.3,35.17,7.0,-0.87,7.77,5.69,6.76,4.4,1.01,13.38,3.26
108.3,35.17,8.0,-0.87,7.77,5.69,6.77,4.37,0.88,13.98,3.56
108.3,35.17,9.0,-0.87,7.77,5.66,6.77,4.35,0.77,12.53,3.01
108.3,35.17,10.0,-0.87,7.77,5.64,6.78,4.16,0.81,15.02,3.38
108.3,35.17,11.0,-0.88,7.77,5.62,6.78,4.21,0.79,17.1,3.98
108.3,35.17,12.0,-0.88,7.77,5.6,6.78,3.91,0.63,17.23,3.95
108.07,34.28,1.0,-0.85,7.76,5.6,6.87,4.24,0.62,19.91,4.94
108.07,34.28,2.0,-0.86,7.76,5.62,6.87,3.98,0.71,18.09,4.43
108.07,34.28,3.0,-0.86,7.76,5.65,6.86,4.16,0.85,18.34,4.56
108.07,34.28,4.0,-0.86,7.76,5.67,6.86,4.16,0.91,15.92,3.87
108.07,34.28,5.0,-0.86,7.76,5.68,6.86,4.19,0.86,14.83,3.58
108.07,34.28,6.0,-0.86,7.77,5.7,6.85,4.17,0.77,13.59,3.32
108.07,34.28,7.0,-0.87,7.77,5.7,6.85,4.35,0.64,13.17,3.23
108.07,34.28,8.0,-0.87,7.77,5.71,6.85,4.29,0.55,13.82,3.44
108.07,34.28,9.0,-0.87,7.77,5.68,6.86,4.34,0.61,12.64,3.09
108.07,34.28,10.0,-0.87,7.77,5.66,6.87,4.16,0.58,15.72,3.83
108.07,34.28,11.0,-0.88,7.77,5.64,6.87,4.29,0.42,17.84,4.4
108.07,34.28,12.0,-0.88,7.77,5.61,6.87,3.96,0.58,18.13,4.5
108.82,34.55,1.0,-0.85,7.76,5.6,6.88,4.27,0.76,24.12,5.04
108.82,34.55,2.0,-0.86,7.76,5.63,6.88,3.93,0.84,22.17,4.69
108.82,34.55,3.0,-0.86,7.76,5.66,6.87,4.15,1.03,22.72,4.67
108.82,34.55,4.0,-0.86,7.76,5.67,6.87,4.16,1.06,19.56,4.04
108.82,34.55,5.0,-0.86,7.76,5.68,6.87,4.18,1.02,18.8,4.05
108.82,34.55,6.0,-0.86,7.77,5.7,6.86,4.09,0.93,17.09,3.76
108.82,34.55,7.0,-0.87,7.77,5.71,6.86,4.27,1.18,16.84,3.63
108.82,34.55,8.0,-0.87,7.77,5.71,6.86,4.2,0.96,17.6,3.68
108.82,34.55,9.0,-0.87,7.77,5.68,6.87,4.26,0.85,15.71,3.38
108.82,34.55,10.0,-0.87,7.77,5.66,6.88,4.05,0.93,18.9,3.88
108.82,34.55,11.0,-0.88,7.77,5.64,6.88,4.26,0.57,21.7,4.46
108.82,34.55,12.0,-0.88,7.77,5.61,6.89,3.89,0.68,22.17,4.54
108.55,34.82,1.0,-0.85,7.76,5.59,6.81,4.19,0.96,18.76,4.21
108.55,34.82,2.0,-0.86,7.76,5.61,6.81,3.95,1.05,17.44,3.95
108.55,34.82,3.0,-0.86,7.76,5.65,6.8,4.12,1.14,17.92,4.26
108.55,34.82,4.0,-0.86,7.76,5.66,6.8,4.12,1.16,15.65,3.64
108.55,34.82,5.0,-0.86,7.76,5.67,6.78,4.19,0.98,15.18,3.57
108.55,34.82,6.0,-0.86,7.77,5.69,6.8,4.19,0.92,13.73,3.14
108.55,34.82,7.0,-0.87,7.77,5.7,6.79,4.4,1.05,13.67,3.26
108.55,34.82,8.0,-0.87,7.77,5.7,6.8,4.37,0.87,14.22,3.56
